ticker,secShortName,outstanding,totals
002670,国盛金控,6.38,19.45
002671,龙泉股份,3.38,4.72
002672,东江环保,6.51,8.87
002673,西部证券,35.02,35.02
002674,兴业科技,2.4,3.02
002675,东诚药业,5.78,7.75
002676,顺威股份,7.2,7.2
002677,浙江美大,2.83,6.46
002678,珠江钢琴,13.57,13.58
002679,福建金森,2.36,2.36
002680,ST长生,4.04,9.74
002681,奋达科技,10.11,20.8
002682,龙洲股份,4.32,5.62
002683,宏大爆破,5.98,7.01
002684,猛狮科技,3.9,5.67
002685,华东重机,5.6,10.08
002686,亿利达,3.28,4.43
002687,乔治白,3.19,3.55
002688,金河生物,5.33,6.35
002689,远大智能,10.41,10.43
002690,美亚光电,3.27,6.76
002691,冀凯股份,3.39,3.4
002692,睿康股份,7.15,7.18
002693,双成药业,4.03,4.05
002694,顾地科技,4.99,5.97
002695,煌上煌,4.53,5.14
002696,百洋股份,1.77,3.95
002697,红旗连锁,9.86,13.6
002698,博实股份,5.44,6.82
002699,美盛文化,7.91,9.1
002700,新疆浩源,3.13,4.22
002701,奥瑞金,17.98,23.55
002702,海欣食品,3.19,4.81
002703,浙江世宝,4.5,7.9
002705,新宝股份,4.59,8.13
002706,良信电器,5.52,7.86
002707,众信旅游,5.1,8.49
002708,光洋股份,2.4,4.69
002709,天赐材料,1.94,3.4
002711,欧浦智网,10.5,10.56
002712,思美传媒,1.81,3.42
002713,东易日盛,0.77,2.63
002714,牧原股份,10.74,20.85
002715,登云股份,0.83,0.92
002716,金贵银业,5.42,9.6
002717,岭南股份,5.31,10.03
002718,友邦吊顶,0.26,0.88
002719,麦趣尔,1.01,1.74
002721,金一文化,5.1,8.35
002722,金轮股份,1.11,1.75
002723,金莱特,1.74,1.87
002724,海洋王,3.32,7.2
002725,跃岭股份,1.1,2.56
002726,龙大肉食,7.51,7.56
002727,一心堂,2.99,5.68
002728,特一药业,1.19,2.0
002729,好利来,0.67,0.67
002730,电光科技,2.9,3.23
002731,萃华珠宝,1.29,1.51
002732,燕塘乳业,1.56,1.57
002733,雄韬股份,3.12,3.5
002734,利民股份,2.1,2.8
002735,王子新材,0.43,0.84
002736,国信证券,82.0,82.0
002737,葵花药业,5.17,5.84
002738,中矿资源,1.23,1.92
002739,万达电影,17.1,17.61
002740,爱迪尔,1.64,3.31
002741,光华科技,3.21,3.74
002742,三圣股份,2.69,4.32
002743,富煌钢构,3.32,3.37
002745,木林森,5.2,12.77
002746,仙坛股份,2.42,3.09
002747,埃斯顿,7.22,8.38
002748,世龙实业,2.4,2.4
002749,国光股份,0.82,1.29
002750,龙津药业,3.97,4.0
002751,易尚展示,0.89,1.55
002752,昇兴股份,1.7,8.33
002753,永东股份,1.99,3.33
002755,东方新星,1.72,1.72
002756,永兴特钢,1.85,3.6
002757,南兴装备,0.97,1.31
002758,华通医药,1.79,2.1
002759,天际股份,1.26,4.52
002760,凤形股份,0.72,0.88
002761,多喜爱,2.03,2.04
002762,金发拉比,1.9,3.57
002763,汇洁股份,1.82,3.89
002765,蓝黛传动,2.55,4.29
002766,索菱股份,2.49,4.22
002767,先锋电子,1.24,1.5
002768,国恩股份,0.87,2.71
002769,普路通,2.36,3.76
002770,科迪乳业,5.83,10.95
002771,真视通,0.92,1.62
002772,众兴菌业,2.54,3.73
002773,康弘药业,4.75,6.74
002774,快意电梯,0.88,3.41
002775,文科园林,3.83,5.13
002776,柏堡龙,2.06,3.61
002777,久远银海,0.6,1.73
002778,高科石化,0.56,0.89
002779,中坚科技,0.4,1.32
002780,三夫户外,0.65,1.12
002781,奇信股份,0.91,2.25
002782,可立克,1.06,4.26
002783,凯龙股份,1.71,3.34
002785,万里石,0.97,2.0
002786,银宝山新,1.37,3.81
002787,华源控股,1.02,3.06
002788,鹭燕医药,1.06,1.92
002789,建艺集团,0.66,1.38
002790,瑞尔特,0.64,2.56
002791,坚朗五金,0.8,3.22
002792,通宇通讯,0.71,2.25
002793,东音股份,0.64,2.0
002795,永和智控,0.64,2.0
002796,世嘉科技,0.3,1.03
002797,第一创业,19.18,35.02
002798,帝欧家居,0.55,2.27
